Rank,Released,Movie,Worldwide Box Office,Domestic Box Office,International Box Office
1,2013,Frozen,"$1,267,856,756 ","$400,953,009 ","$866,903,747 "
2,2017,Beauty and the Beast,"$1,255,080,655 ","$504,014,165 ","$751,066,490 "
3,2017,Coco,"$798,237,597 ","$210,460,015 ","$587,777,582 "
4,2016,Moana,"$636,155,760 ","$248,757,044 ","$387,398,716 "
5,2008,Mamma Mia!,"$603,604,074 ","$144,130,063 ","$459,474,011 "
6,2010,Tangled,"$585,574,317 ","$200,821,936 ","$384,752,381 "
7,2016,La La Land,"$445,968,842 ","$151,101,803 ","$294,867,039 "
8,1991,Beauty and the Beast,"$438,656,843 ","$206,333,165 ","$232,323,678 "
9,2012,Les Misérables,"$438,420,442 ","$148,809,770 ","$289,610,672 "
10,2017,The Greatest Showman,"$436,477,515 ","$174,340,174 ","$262,137,341 "
11,2018,Mamma Mia: Here We Go Again!,"$392,879,661 ","$120,634,935 ","$272,244,726 "
12,1978,Grease,"$387,483,897 ","$181,813,770 ","$205,670,127 "
13,2018,Mary Poppins Returns,"$348,901,032 ","$171,958,438 ","$176,942,594 "
14,2002,Chicago,"$306,770,545 ","$170,687,518 ","$136,083,027 "
15,1965,The Sound of Music,"$286,214,195 ","$163,214,286 ","$122,999,909 "
16,2008,High School Musical 3: Senior Year,"$274,392,880 ","$90,559,416 ","$183,833,464 "
17,1950,Cinderella,"$263,591,415 ","$85,000,000 ","$178,591,415 "
18,2014,Into the Woods,"$212,721,142 ","$128,002,372 ","$84,718,770 "
19,2007,Hairspray,"$202,822,861 ","$118,871,849 ","$83,951,012 "
20,1937,Snow White and the Seven Dwarfs,"$184,925,486 ","$184,925,486 ",
21,2001,Moulin Rouge,"$179,199,536 ","$57,386,369 ","$121,813,167 "
22,2006,Dreamgirls,"$155,708,695 ","$103,365,956 ","$52,342,739 "
23,2004,The Phantom of the Opera,"$153,770,052 ","$51,225,796 ","$102,544,256 "
24,2007,Sweeney Todd: The Demon Barber of Fleet Street,"$153,329,844 ","$52,898,073 ","$100,431,771 "
25,1996,Evita,"$151,947,179 ","$50,047,179 ","$101,900,000 "
26,1967,The Jungle Book,"$141,843,000 ","$141,843,000 ",
27,2014,Annie,"$139,829,625 ","$85,911,262 ","$53,918,363 "
28,1997,Anastasia,"$139,801,096 ","$58,403,409 ","$81,397,687 "
29,2017,Secret Superstar,"$128,719,011 ",,"$128,719,011 "
30,1983,Staying Alive,"$126,041,474 ","$63,841,474 ","$62,200,000 "
31,1964,Mary Poppins,"$102,296,454 ","$102,272,145 ","$24,309 "
32,2010,Burlesque,"$90,552,675 ","$39,440,655 ","$51,112,020 "
33,1940,Fantasia,"$83,320,832 ","$83,320,000 ",$832 
34,1971,Fiddler on the Roof,"$80,501,127 ","$80,500,000 ","$1,127 "
35,2009,Fame,"$80,227,619 ","$22,455,510 ","$57,772,109 "
36,1984,Footloose,"$80,007,954 ","$80,000,000 ","$7,954 "
37,1993,The Nightmare Before Christmas,"$77,744,972 ","$77,355,160 ","$389,812 "
38,2019,Cats,"$75,486,351 ","$27,166,770 ","$48,319,581 "
39,1964,My Fair Lady,"$72,071,636 ","$72,000,000 ","$71,636 "
40,1982,The Best Little Whorehouse in Texas,"$69,701,637 ","$69,701,637 ",
41,1999,Fantasia 2000 (Theatrical Release),"$69,618,634 ","$69,610,858 ","$7,776 "
42,2017,Feng Ren Ji Yue Dui,"$68,722,321 ","$312,537 ","$68,409,784 "
43,2014,Jersey Boys,"$65,282,732 ","$47,047,013 ","$18,235,719 "
44,2011,Footloose,"$62,989,834 ","$51,802,742 ","$11,187,092 "
45,2012,Rock of Ages,"$61,031,932 ","$38,518,613 ","$22,513,319 "
46,1980,The Blues Brothers,"$57,245,093 ","$57,229,890 ","$15,203 "
47,1982,Annie,"$57,063,861 ","$57,059,003 ","$4,858 "
48,2009,Nine,"$56,984,219 ","$19,676,965 ","$37,307,254 "
49,1970,The Aristocats,"$55,675,257 ","$55,675,257 ",
50,2017,Bareilly Ki Barfi,"$52,117,236 ",,"$52,117,236 "
51,1999,"South Park: Bigger, Longer & Uncut","$52,037,603 ","$52,037,603 ",
52,1980,Popeye,"$49,823,037 ","$49,823,037 ",
53,2000,Dancer in the Dark,"$45,557,491 ","$4,157,491 ","$41,400,000 "
54,1961,West Side Story,"$43,700,971 ","$43,700,000 ",$971 
55,2002,8 femmes,"$42,376,425 ","$3,076,425 ","$39,300,000 "
56,1972,Cabaret,"$41,326,446 ","$41,326,446 ",
57,1983,Yentl,"$39,012,241 ","$39,012,241 ",
58,1986,Little Shop of Horrors,"$38,747,385 ","$38,747,385 ",
59,1968,Oliver!,"$37,402,877 ","$37,402,877 ",
60,1984,Breakin',"$36,100,000 ","$36,100,000 ",
61,1939,The Wizard of Oz,"$34,949,482 ","$34,685,891 ","$263,591 "
62,1996,Everyone Says I Love You,"$34,600,000 ","$9,725,847 ","$24,874,153 "
63,2017,Golmaal Again,"$33,996,263 ","$1,013,893 ","$32,982,370 "
64,1969,"Hello, Dolly","$33,208,099 ","$33,208,099 ",
65,2005,The Producers: The Movie Musical,"$32,952,995 ","$19,398,532 ","$13,554,463 "
66,1969,Paint Your Wagon,"$31,678,778 ","$31,678,778 ",
67,2005,Rent,"$31,670,620 ","$29,077,547 ","$2,593,073 "
68,2012,Joyful Noise,"$31,157,914 ","$30,932,113 ","$225,801 "
69,1967,Camelot,"$31,102,578 ","$31,102,578 ",
70,1954,White Christmas,"$30,001,212 ","$30,000,000 ","$1,212 "
71,2007,Across the Universe,"$29,367,143 ","$24,343,673 ","$5,023,470 "
72,1999,Cirque du Soleil - Journey of Man,"$27,751,781 ","$15,626,076 ","$12,125,705 "
73,2005,Bride & Prejudice,"$25,269,040 ","$6,601,079 ","$18,667,961 "
74,1973,Jesus Christ Superstar,"$24,477,615 ","$24,477,615 ",
75,2002,Eight Crazy Nights,"$23,607,202 ","$23,607,202 ",
76,1994,Hum Aapke Hain Kaun...!,"$23,450,000 ",,"$23,450,000 "
77,1980,Xanadu,"$22,762,571 ","$22,762,571 ",
78,1982,Victor/Victoria,"$22,524,614 ","$22,524,614 ",
79,1978,The Wiz,"$22,000,000 ","$22,000,000 ",
80,1998,Little Voice,"$21,787,233 ","$4,595,000 ","$17,192,233 "
81,1980,Fame,"$21,202,829 ","$21,202,829 ",
82,1999,The Legend of 1900,"$21,107,278 ","$262,933 ","$20,844,345 "
83,2010,The Nutcracker in 3D,"$20,466,016 ","$195,459 ","$20,270,557 "
