,Movie,Director,Actors,Rating
0,Frozen,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad",75
1,Beauty and the Beast,"Gary Trousdale, Kirk Wise","Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury",95
2,Coco,"Lee Unkrich, Adrian Molina(co-director)","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach",81
3,Moana,"Ron Clements, John Musker, Don Hall(co-director), Chris Williams(co-director)","Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison",81
4,Mamma Mia!,Phyllida Lloyd,"Amanda Seyfried, Stellan Skarsgård, Pierce Brosnan, Nancy Baldwin",51
5,Tangled,"Nathan Greno, Byron Howard","Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman",71
6,La La Land,Damien Chazelle,"Ryan Gosling, Emma Stone, Amiee Conn, Terry Walters",94
7,Beauty and the Beast,"Gary Trousdale, Kirk Wise","Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury",95
8,Les Misérables,Tom Hooper,"Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried",63
9,The Greatest Showman,Michael Gracey,"Hugh Jackman, Michelle Williams, Zac Efron, Zendaya",48
10,Grease,Randal Kleiser,"John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway",70
11,Mary Poppins Returns,Rob Marshall,"Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer",66
12,Chicago,Rob Marshall,"Taye Diggs, Cliff Saunders, Catherine Zeta-Jones, Renée Zellweger",81
13,The Sound of Music,Robert Wise,"Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn",63
14,Cinderella,Kenneth Branagh,"Cate Blanchett, Lily James, Richard Madden, Helena Bonham Carter",67
15,Into the Woods,Rob Marshall,"Anna Kendrick, Daniel Huttlestone, James Corden, Emily Blunt",69
16,Hairspray,Adam Shankman,"John Travolta, Michelle Pfeiffer, Christopher Walken, Amanda Bynes",81
17,Snow White and the Seven Dwarfs,"William Cottrell, David Hand, Wilfred Jackson, Larry Morey, Perce Pearce, Ben Sharpsteen","Roy Atwell, Stuart Buchanan, Adriana Caselotti, Eddie Collins",95
18,Moulin Rouge,John Huston,"José Ferrer, Zsa Zsa Gabor, Suzanne Flon, Claude Nollier",N/A
19,Dreamgirls,Bill Condon,"Jamie Foxx, Beyoncé, Eddie Murphy, Danny Glover",76
20,The Phantom of the Opera,Joel Schumacher,"Gerard Butler, Emmy Rossum, Patrick Wilson, Miranda Richardson",40
21,Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,"Johnny Depp, Helena Bonham Carter, Alan Rickman, Timothy Spall",83
22,Evita,Alan Parker,"Madonna, Antonio Banderas, Jonathan Pryce, Jimmy Nail",45
23,The Jungle Book,Jon Favreau,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba",77
24,Annie,John Huston,"Albert Finney, Carol Burnett, Ann Reinking, Tim Curry",39
25,Anastasia,"Don Bluth, Gary Goldman","Meg Ryan, John Cusack, Kelsey Grammer, Christopher Lloyd",61
26,Secret Superstar,Advait Chandan,"Zaira Wasim, Meher Vij, Raj Arjun, Aamir Khan",N/A
27,Staying Alive,Sylvester Stallone,"John Travolta, Cynthia Rhodes, Finola Hughes, Steve Inwood",23
28,Mary Poppins,Robert Stevenson,"Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns",88
29,Burlesque,Steve Antin,"Cher, Christina Aguilera, Eric Dane, Cam Gigandet",47
30,Fantasia,"James Algar, Samuel Armstrong, Ford Beebe Jr., Norman Ferguson, David Hand, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, Paul Satterfield, Ben Sharpsteen","Deems Taylor, Leopold Stokowski, The Philadelphia Orchestra",96
31,Fiddler on the Roof,Norman Jewison,"Topol, Norma Crane, Leonard Frey, Molly Picon",67
32,Fame,Alan Parker,"Eddie Barth, Irene Cara, Lee Curreri, Laura Dean",58
33,Footloose,Herbert Ross,"Kevin Bacon, Lori Singer, John Lithgow, Dianne Wiest",42
